# Charge generation [cm^-3*s^-1]
# Column format:
# x (nm)	330 nm	340 nm	350 nm	360 nm	370 nm	380 nm	390 nm	400 nm	410 nm	420 nm	430 nm	440 nm	450 nm	460 nm	470 nm	480 nm	490 nm	500 nm	510 nm	520 nm	530 nm	540 nm	550 nm	560 nm	570 nm	580 nm	590 nm	600 nm	610 nm	620 nm	630 nm	640 nm	650 nm	660 nm	670 nm	680 nm	690 nm	700 nm	710 nm	720 nm	730 nm	740 nm	750 nm	760 nm	770 nm	780 nm	790 nm	800 nm	810 nm	820 nm	830 nm	840 nm	850 nm	
1.000000E1	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0	0.000000E0
1.000000E1	1.252807E19	1.840410E19	2.443711E19	2.858249E19	3.062849E19	3.253359E19	3.296114E19	3.231193E19	3.027542E19	2.880778E19	2.733539E19	2.593301E19	2.503590E19	2.456451E19	2.445423E19	2.444465E19	2.428829E19	2.379222E19	2.292480E19	2.172862E19	2.000680E19	1.829658E19	1.677372E19	1.542181E19	1.428759E19	1.351207E19	1.310227E19	1.278512E19	1.235412E19	1.167980E19	1.088844E19	1.008407E19	9.409578E18	8.882295E18	8.469044E18	8.249612E18	7.978170E18	7.848147E18	7.672555E18	7.507874E18	7.406546E18	7.295996E18	7.099240E18	6.473349E18	4.906617E18	2.928493E18	1.242637E18	3.666836E17	9.377486E16	2.375425E16	6.163958E15	1.632447E15	4.492505E14
2.000000E1	1.037078E19	1.532937E19	2.010521E19	2.340868E19	2.515525E19	2.669090E19	2.722023E19	2.698819E19	2.572358E19	2.483351E19	2.384856E19	2.285700E19	2.222749E19	2.191587E19	2.188196E19	2.192662E19	2.185041E19	2.149608E19	2.082971E19	1.987921E19	1.846406E19	1.702690E19	1.572361E19	1.454895E19	1.355057E19	1.286361E19	1.250296E19	1.222368E19	1.183820E19	1.122629E19	1.050066E19	9.757187E18	9.130302E18	8.638200E18	8.251517E18	8.047238E18	7.792723E18	7.672054E18	7.507744E18	7.353307E18	7.259056E18	7.155765E18	6.969737E18	6.370789E18	4.857482E18	2.919114E18	1.242104E18	3.666674E17	9.377426E16	2.375421E16	6.163956E15	1.632447E15	4.492505E14
3.000000E1	8.585164E18	1.276865E19	1.654157E19	1.917176E19	2.066043E19	2.189787E19	2.247961E19	2.254202E19	2.185654E19	2.140800E19	2.080699E19	2.014633E19	1.973461E19	1.955331E19	1.958076E19	1.966850E19	1.965777E19	1.942209E19	1.892665E19	1.818776E19	1.704076E19	1.584577E19	1.473961E19	1.372580E19	1.285182E19	1.224650E19	1.193128E19	1.168711E19	1.134402E19	1.079058E19	1.012687E19	9.441073E18	8.859499E18	8.401007E18	8.039779E18	7.850041E18	7.611807E18	7.500141E18	7.346712E18	7.202169E18	7.114757E18	7.018489E18	6.842863E18	6.270128E18	4.809071E18	2.909839E18	1.241575E18	3.666513E17	9.377366E16	2.375418E16	6.163954E15	1.632447E15	4.492505E14
4.000000E1	7.107230E18	1.063610E19	1.361001E19	1.570215E19	1.696920E19	1.796600E19	1.856508E19	1.882882E19	1.857136E19	1.845554E19	1.815388E19	1.775768E19	1.752186E19	1.744599E19	1.752214E19	1.764353E19	1.768578E19	1.754883E19	1.719808E19	1.664082E19	1.572772E19	1.474703E19	1.381758E19	1.294954E19	1.218939E19	1.165923E19	1.138596E19	1.117430E19	1.087068E19	1.037197E19	9.766575E18	9.135385E18	8.596916E18	8.170524E18	7.833682E18	7.657894E18	7.435318E18	7.332313E18	7.189375E18	7.054388E18	6.973584E18	6.884111E18	6.718572E18	6.171338E18	4.761377E18	2.900669E18	1.241051E18	3.666353E17	9.377306E16	2.375415E16	6.163952E15	1.632447E15	4.492505E14
5.000000E1	5.884009E18	8.860203E18	1.119853E19	1.286100E19	1.393800E19	1.474067E19	1.533279E19	1.572788E19	1.578058E19	1.591090E19	1.583970E19	1.565286E19	1.555783E19	1.556640E19	1.568058E19	1.582769E19	1.591228E19	1.585693E19	1.562805E19	1.522610E19	1.451643E19	1.372497E19	1.295364E19	1.221754E19	1.156139E19	1.110038E19	1.086580E19	1.068422E19	1.041730E19	9.969803E18	9.419288E18	8.839784E18	8.342310E18	7.946569E18	7.633081E18	7.470673E18	7.263152E18	7.168480E18	7.035657E18	6.909896E18	6.835476E18	6.752576E18	6.596816E18	6.074388E18	4.714393E18	2.891602E18	1.240532E18	3.666194E17	9.377246E16	2.375412E16	6.163950E15	1.632447E15	4.492504E14
6.000000E1	4.871663E18	7.381405E18	9.214953E18	1.053460E19	1.144893E19	1.209504E19	1.266395E19	1.313834E19	1.340990E19	1.371785E19	1.382126E19	1.379824E19	1.381465E19	1.389000E19	1.403327E19	1.419947E19	1.431739E19	1.432891E19	1.420210E19	1.393236E19	1.339905E19	1.277428E19	1.214416E19	1.152728E19	1.096605E19	1.056858E19	1.036965E19	1.021587E19	9.983054E18	9.583439E18	9.084549E18	8.553943E18	8.095446E18	7.728961E18	7.437835E18	7.288258E18	7.095210E18	7.008552E18	6.885478E18	6.768625E18	6.700371E18	6.623829E18	6.477550E18	5.979250E18	4.668113E18	2.882639E18	1.240017E18	3.666036E17	9.377186E16	2.375409E16	6.163948E15	1.632447E15	4.492504E14
7.000000E1	4.033911E18	6.150121E18	7.583501E18	8.629816E18	9.405161E18	9.925058E18	1.046049E19	1.097602E19	1.139622E19	1.182792E19	1.206086E19	1.216416E19	1.226756E19	1.239491E19	1.255981E19	1.273956E19	1.288319E19	1.294898E19	1.290708E19	1.274932E19	1.236836E19	1.189001E19	1.138575E19	1.087642E19	1.040168E19	1.006254E19	9.896409E18	9.768286E18	9.567141E18	9.212265E18	8.761913E18	8.277548E18	7.856093E18	7.517528E18	7.247808E18	7.110531E18	6.931393E18	6.852442E18	6.738765E18	6.630510E18	6.568211E18	6.497817E18	6.360727E18	5.885895E18	4.622528E18	2.873779E18	1.239508E18	3.665879E17	9.377126E16	2.375406E16	6.163946E15	1.632446E15	4.492504E14
8.000000E1	3.340729E18	5.125064E18	6.241831E18	7.070431E18	7.727213E18	8.145396E18	8.641428E18	9.170600E18	9.685924E18	1.019935E19	1.052563E19	1.072451E19	1.089461E19	1.106163E19	1.124194E19	1.143066E19	1.159359E19	1.170286E19	1.173104E19	1.166759E19	1.141769E19	1.106757E19	1.067520E19	1.026271E19	9.866707E18	9.581028E18	9.445038E18	9.340572E18	9.168799E18	8.855694E18	8.450950E18	8.010294E18	7.624030E18	7.312101E18	7.062865E18	6.937379E18	6.771607E18	6.700065E18	6.595442E18	6.495487E18	6.438937E18	6.374488E18	6.246305E18	5.794296E18	4.577633E18	2.865022E18	1.239003E18	3.665722E17	9.377067E16	2.375402E16	6.163944E15	1.632446E15	4.492504E14
9.000000E1	2.767275E18	4.271861E18	5.138672E18	5.794028E18	6.349818E18	6.686063E18	7.139929E18	7.663373E18	8.233484E18	8.796169E18	9.186917E18	9.456284E18	9.676309E18	9.872729E18	1.006334E19	1.025725E19	1.043412E19	1.057770E19	1.066316E19	1.067856E19	1.054088E19	1.030268E19	1.000954E19	9.684078E18	9.359603E18	9.122863E18	9.014537E18	8.931853E18	8.787296E18	8.513160E18	8.151245E18	7.751884E18	7.399042E18	7.112514E18	6.882878E18	6.768689E18	6.615759E18	6.551339E18	6.455437E18	6.363491E18	6.312493E18	6.253791E18	6.134240E18	5.704425E18	4.533421E18	2.856367E18	1.238502E18	3.665567E17	9.377007E16	2.375399E16	6.163942E15	1.632446E15	4.492504E14
