# Charge generation [cm^-3*s^-1]
# Column format:
# x (nm)	360 nm	370 nm	380 nm	390 nm	400 nm	410 nm	420 nm	430 nm	440 nm	450 nm	460 nm	470 nm	480 nm	490 nm	500 nm	510 nm	520 nm	530 nm	540 nm	550 nm	560 nm	570 nm	580 nm	590 nm	600 nm	610 nm	620 nm	630 nm	640 nm	650 nm	660 nm	670 nm	680 nm	690 nm	700 nm	710 nm	720 nm	730 nm	740 nm	750 nm	760 nm	770 nm	780 nm	790 nm	800 nm	810 nm	820 nm	830 nm	
1.000000E2	1.123326E18	1.216151E18	1.247156E18	1.374201E18	1.631581E18	2.083306E18	2.538404E18	3.131139E18	3.773549E18	4.324293E18	4.750889E18	5.080735E18	5.308980E18	5.537312E18	5.816441E18	6.206297E18	6.666180E18	7.208561E18	7.846179E18	8.381897E18	8.791108E18	9.087821E18	9.305827E18	9.491103E18	9.643254E18	9.749226E18	9.793239E18	9.719132E18	9.482135E18	9.111240E18	8.682404E18	8.453718E18	8.502676E18	8.819973E18	9.280907E18	9.625204E18	9.694691E18	9.580410E18	9.248067E18	8.762967E18	8.326240E18	7.638507E18	5.399950E18	1.440803E18	4.133222E16	2.115985E17	1.159592E17	3.689552E16
1.100000E2	7.659327E17	8.285769E17	8.462960E17	9.386868E17	1.134376E18	1.491139E18	1.857905E18	2.353569E18	2.908979E18	3.396335E18	3.778438E18	4.074822E18	4.277650E18	4.481883E18	4.736347E18	5.102018E18	5.544284E18	6.080914E18	6.736342E18	7.310270E18	7.773875E18	8.138879E18	8.423721E18	8.646146E18	8.803984E18	8.913434E18	8.970725E18	8.920669E18	8.723880E18	8.431927E18	8.158144E18	8.131790E18	8.363502E18	8.773296E18	9.180059E18	9.352713E18	9.255587E18	8.974794E18	8.478008E18	7.904276E18	7.427452E18	6.636900E18	4.214083E18	7.427375E17	2.091818E17	3.780537E17	1.516169E17	4.136386E16
1.200000E2	5.222464E17	5.645187E17	5.742801E17	6.411964E17	7.886887E17	1.067292E18	1.359836E18	1.769096E18	2.242494E18	2.667510E18	3.005035E18	3.268061E18	3.446662E18	3.627615E18	3.856814E18	4.194208E18	4.611176E18	5.129629E18	5.783567E18	6.376590E18	6.877331E18	7.293379E18	7.624781E18	7.865221E18	8.019559E18	8.129832E18	8.201022E18	8.182949E18	8.048911E18	7.869221E18	7.773150E18	7.928080E18	8.275522E18	8.682616E18	8.951749E18	8.907713E18	8.644572E18	8.228562E18	7.640584E18	7.057015E18	6.584952E18	5.685652E18	3.168149E18	4.225132E17	5.896751E17	5.622463E17	1.815839E17	4.355758E16
1.300000E2	3.560904E17	3.846129E17	3.896954E17	4.379872E17	5.483453E17	7.639211E17	9.952891E17	1.329768E18	1.728709E18	2.095084E18	2.389936E18	2.621023E18	2.777101E18	2.936173E18	3.140608E18	3.447926E18	3.835122E18	4.327212E18	4.965878E18	5.563429E18	6.086726E18	6.537130E18	6.895823E18	7.140415E18	7.289248E18	7.403990E18	7.495572E18	7.522421E18	7.473306E18	7.426041E18	7.501921E18	7.786594E18	8.166543E18	8.483648E18	8.563830E18	8.303486E18	7.908288E18	7.414355E18	6.824119E18	6.311313E18	5.890908E18	4.908032E18	2.419483E18	5.273142E17	1.128656E18	7.398242E17	2.021415E17	4.322000E16
1.400000E2	2.427980E17	2.620410E17	2.644398E17	2.991795E17	3.812436E17	5.467813E17	7.284708E17	9.995408E17	1.332640E18	1.645496E18	1.900739E18	2.102090E18	2.237611E18	2.376526E18	2.557407E18	2.834447E18	3.189718E18	3.650438E18	4.264259E18	4.855130E18	5.388276E18	5.857334E18	6.227158E18	6.468837E18	6.616345E18	6.743090E18	6.864037E18	6.948540E18	6.998914E18	7.085155E18	7.299553E18	7.643093E18	7.973375E18	8.138045E18	8.018874E18	7.586295E18	7.118972E18	6.619347E18	6.115602E18	5.742400E18	5.414829E18	4.399697E18	2.077195E18	1.039089E18	1.749454E18	8.873099E17	2.107385E17	4.039062E16
1.500000E2	1.655502E17	1.785315E17	1.794437E17	2.043629E17	2.650642E17	3.913621E17	5.331814E17	7.513203E17	1.027314E18	1.292384E18	1.511674E18	1.685899E18	1.802928E18	1.923557E18	2.082517E18	2.330147E18	2.652984E18	3.079661E18	3.662209E18	4.237675E18	4.769552E18	5.243509E18	5.613129E18	5.851529E18	6.005617E18	6.152607E18	6.310638E18	6.460485E18	6.612231E18	6.812750E18	7.111568E18	7.438854E18	7.654907E18	7.640992E18	7.353514E18	6.826585E18	6.361195E18	5.929711E18	5.585693E18	5.397989E18	5.192071E18	4.212851E18	2.184351E18	1.877324E18	2.363776E18	9.852038E17	2.063081E17	3.540049E16
1.600000E2	1.128794E17	1.216355E17	1.217670E17	1.395958E17	1.842890E17	2.801199E17	3.902455E17	5.647414E17	7.919426E17	1.015047E18	1.202248E18	1.352113E18	1.452694E18	1.556933E18	1.695823E18	1.915597E18	2.206619E18	2.598255E18	3.145418E18	3.698690E18	4.219903E18	4.688009E18	5.051662E18	5.291421E18	5.460500E18	5.633555E18	5.831985E18	6.046522E18	6.287067E18	6.565932E18	6.885938E18	7.133243E18	7.200556E18	7.021994E18	6.631132E18	6.105649E18	5.716364E18	5.415265E18	5.276523E18	5.290250E18	5.217965E18	4.347575E18	2.710936E18	2.911407E18	2.884251E18	1.020562E18	1.893999E17	2.883347E16
1.700000E2	7.696609E16	8.287160E16	8.262876E16	9.535487E16	1.281292E17	2.004975E17	2.856279E17	4.244965E17	6.104975E17	7.972238E17	9.561592E17	1.084416E18	1.170501E18	1.260193E18	1.380942E18	1.574814E18	1.835385E18	2.192155E18	2.701544E18	3.227498E18	3.730720E18	4.185950E18	4.542957E18	4.790914E18	4.980781E18	5.181033E18	5.416960E18	5.686168E18	5.990339E18	6.302394E18	6.584575E18	6.712341E18	6.632286E18	6.338725E18	5.929346E18	5.500274E18	5.247803E18	5.117017E18	5.194393E18	5.393713E18	5.448523E18	4.751786E18	3.558752E18	3.980683E18	3.236842E18	9.887092E17	1.621121E17	2.145792E16
1.800000E2	5.247884E16	5.646134E16	5.607028E16	6.513482E16	8.908334E16	1.435074E17	2.090564E17	3.190792E17	4.706239E17	6.261449E17	7.604451E17	8.697234E17	9.431291E17	1.020013E18	1.124531E18	1.294658E18	1.526601E18	1.849493E18	2.320032E18	2.815126E18	3.295402E18	3.734525E18	4.087684E18	4.349752E18	4.561405E18	4.784431E18	5.048675E18	5.354615E18	5.689594E18	5.989979E18	6.191673E18	6.191751E18	5.999786E18	5.665168E18	5.324721E18	5.068237E18	4.989126E18	5.039820E18	5.308612E18	5.649439E18	5.807615E18	5.329820E18	4.577443E18	4.919127E18	3.371363E18	8.938526E17	1.278308E17	1.413683E16
1.900000E2	3.578236E16	3.846774E16	3.804821E16	4.449217E16	6.193626E16	1.027163E17	1.530123E17	2.398407E17	3.627974E17	4.917794E17	6.047938E17	6.975378E17	7.599248E17	8.256061E17	9.157243E17	1.064328E18	1.269730E18	1.560282E18	1.991952E18	2.454197E18	2.908993E18	3.331905E18	3.685207E18	3.963792E18	4.192719E18	4.429246E18	4.707986E18	5.028287E18	5.360400E18	5.613864E18	5.717008E18	5.612954E18	5.369817E18	5.076458E18	4.877697E18	4.837366E18	4.938028E18	5.151423E18	5.556686E18	5.974779E18	6.199435E18	5.958219E18	5.589045E18	5.580840E18	3.268612E18	7.485299E17	9.081020E16	7.726792E15
