# Charge generation [cm^-3*s^-1]
# Column format:
# x (nm)	360 nm	370 nm	380 nm	390 nm	400 nm	410 nm	420 nm	430 nm	440 nm	450 nm	460 nm	470 nm	480 nm	490 nm	500 nm	510 nm	520 nm	530 nm	540 nm	550 nm	560 nm	570 nm	580 nm	590 nm	600 nm	610 nm	620 nm	630 nm	640 nm	650 nm	660 nm	670 nm	680 nm	690 nm	700 nm	710 nm	720 nm	730 nm	740 nm	750 nm	760 nm	770 nm	780 nm	790 nm	800 nm	810 nm	820 nm	830 nm	
1.000000E2	1.116555E18	1.208787E18	1.239444E18	1.365992E18	1.622752E18	2.073807E18	2.528379E18	3.120868E18	3.763358E18	4.314336E18	4.741163E18	5.071188E18	5.299523E18	5.527966E18	5.807290E18	6.197569E18	6.658098E18	7.201312E18	7.840373E18	8.379893E18	8.797728E18	9.103597E18	9.309604E18	9.452532E18	9.568052E18	9.659025E18	9.706544E18	9.671323E18	9.550451E18	9.387747E18	9.194558E18	9.038088E18	8.903465E18	8.796675E18	8.752653E18	8.684144E18	8.601492E18	8.517341E18	8.470243E18	8.381307E18	8.186968E18	7.394130E18	5.602211E18	3.403812E18	1.386113E18	3.954285E17	1.010886E17	2.559165E16
1.100000E2	7.613159E17	8.235602E17	8.410629E17	9.330790E17	1.128238E18	1.484340E18	1.850568E18	2.345848E18	2.901123E18	3.388513E18	3.770699E18	4.067163E18	4.270034E18	4.474328E18	4.728913E18	5.094881E18	5.537654E18	6.075051E18	6.732190E18	7.310209E18	7.780357E18	8.146072E18	8.407702E18	8.590816E18	8.731660E18	8.850486E18	8.939187E18	8.961774E18	8.908908E18	8.808991E18	8.673228E18	8.558867E18	8.457890E18	8.377514E18	8.349161E18	8.298887E18	8.234533E18	8.167743E18	8.132970E18	8.059303E18	7.890060E18	7.175293E18	5.511586E18	3.390167E18	1.385549E18	3.954144E17	1.010882E17	2.559163E16
1.200000E2	5.190984E17	5.611007E17	5.707291E17	6.373659E17	7.844210E17	1.062426E18	1.354465E18	1.763293E18	2.236437E18	2.661365E18	2.998878E18	3.261921E18	3.440535E18	3.621514E18	3.850783E18	4.188386E18	4.605762E18	5.124934E18	5.780641E18	6.377069E18	6.880636E18	7.289261E18	7.593177E18	7.807660E18	7.968386E18	8.109634E18	8.232505E18	8.304304E18	8.310499E18	8.265980E18	8.181558E18	8.105195E18	8.034790E18	7.978541E18	7.964513E18	7.930998E18	7.883543E18	7.832845E18	7.809508E18	7.750083E18	7.604385E18	6.963542E18	5.423079E18	3.376760E18	1.384993E18	3.954005E17	1.010877E17	2.559161E16
1.300000E2	3.539440E17	3.822842E17	3.872857E17	4.353707E17	5.453781E17	7.604379E17	9.913585E17	1.325406E18	1.724040E18	2.090257E18	2.385041E18	2.616106E18	2.772174E18	2.931249E18	3.135717E18	3.443177E18	3.830691E18	4.323412E18	4.963588E18	5.563043E18	6.084959E18	6.522570E18	6.857564E18	7.095900E18	7.271839E18	7.430806E18	7.581702E18	7.695090E18	7.752326E18	7.756511E18	7.717868E18	7.675717E18	7.633044E18	7.598796E18	7.597841E18	7.579708E18	7.547841E18	7.512044E18	7.499306E18	7.453159E18	7.329537E18	6.758667E18	5.336658E18	3.363589E18	1.384445E18	3.953868E17	1.010873E17	2.559158E16
1.400000E2	2.413344E17	2.604544E17	2.628046E17	2.973922E17	3.791806E17	5.442882E17	7.255939E17	9.962617E17	1.329039E18	1.641704E18	1.896849E18	2.098153E18	2.233650E18	2.372548E18	2.553434E18	2.830558E18	3.186051E18	3.647245E18	4.262019E18	4.852927E18	5.381294E18	5.836521E18	6.193217E18	6.449029E18	6.636185E18	6.808807E18	6.982360E18	7.130594E18	7.231687E18	7.278516E18	7.280571E18	7.269152E18	7.251582E18	7.237362E18	7.248316E18	7.244282E18	7.226776E18	7.204763E18	7.201838E18	7.168058E18	7.065124E18	6.560465E18	5.252288E18	3.350655E18	1.383905E18	3.953732E17	1.010868E17	2.559156E16
1.500000E2	1.645524E17	1.774505E17	1.783341E17	2.031421E17	2.636299E17	3.895776E17	5.310757E17	7.488554E17	1.024539E18	1.289407E18	1.508585E18	1.682748E18	1.799740E18	1.920337E18	2.079278E18	2.326938E18	2.649894E18	3.076828E18	3.659612E18	4.233456E18	4.759002E18	5.222633E18	5.593233E18	5.861132E18	6.056101E18	6.238882E18	6.430412E18	6.607534E18	6.746061E18	6.830057E18	6.868173E18	6.884286E18	6.889391E18	6.893369E18	6.915150E18	6.924017E18	6.919725E18	6.910448E18	6.916599E18	6.894329E18	6.810769E18	6.368742E18	5.169937E18	3.337955E18	1.383374E18	3.953597E17	1.010863E17	2.559154E16
1.600000E2	1.121990E17	1.208990E17	1.210141E17	1.387619E17	1.832918E17	2.788426E17	3.887043E17	5.628886E17	7.898034E17	1.012711E18	1.199794E18	1.349587E18	1.450121E18	1.554318E18	1.693169E18	1.912923E18	2.203962E18	2.595623E18	3.142351E18	3.693060E18	4.208671E18	4.673314E18	5.051376E18	5.326832E18	5.526730E18	5.716672E18	5.922110E18	6.122871E18	6.293096E18	6.409312E18	6.479262E18	6.519970E18	6.545509E18	6.565989E18	6.597592E18	6.618244E18	6.626092E18	6.628571E18	6.643104E18	6.631536E18	6.566110E18	6.183308E18	5.089573E18	3.325490E18	1.382851E18	3.953464E17	1.010859E17	2.559152E16
1.700000E2	7.650216E16	8.236984E16	8.211782E16	9.478522E16	1.274358E17	1.995833E17	2.844999E17	4.231039E17	6.088489E17	7.953908E17	9.542094E17	1.082388E18	1.168420E18	1.258063E18	1.378758E18	1.572570E18	1.833073E18	2.189676E18	2.698201E18	3.221645E18	3.721981E18	4.181774E18	4.562015E18	4.841243E18	5.043640E18	5.238184E18	5.454005E18	5.673788E18	5.870601E18	6.014575E18	6.112510E18	6.175116E18	6.219021E18	6.254431E18	6.294923E18	6.326322E18	6.345309E18	6.358623E18	6.380890E18	6.379264E18	6.330800E18	6.003979E18	5.011166E18	3.313258E18	1.382337E18	3.953332E17	1.010854E17	2.559150E16
1.800000E2	5.216251E16	5.611949E16	5.572357E16	6.474571E16	8.860129E16	1.428530E17	2.082308E17	3.180325E17	4.693536E17	6.247062E17	7.588932E17	8.680900E17	9.414417E17	1.018274E18	1.122731E18	1.292774E18	1.524598E18	1.847218E18	2.316829E18	2.810406E18	3.291572E18	3.741935E18	4.120065E18	4.399926E18	4.602784E18	4.799756E18	5.022920E18	5.257676E18	5.476528E18	5.644244E18	5.766660E18	5.848696E18	5.909061E18	5.957946E18	6.006462E18	6.047640E18	6.076831E18	6.100118E18	6.129510E18	6.137112E18	6.104503E18	5.830579E18	4.934686E18	3.301258E18	1.381830E18	3.953202E17	1.010850E17	2.559147E16
1.900000E2	3.556668E16	3.823483E16	3.781294E16	4.422637E16	6.160111E16	1.022479E17	1.524080E17	2.390540E17	3.618184E17	4.906491E17	6.035560E17	6.962202E17	7.585566E17	8.241899E17	9.142473E17	1.062761E18	1.268034E18	1.558320E18	1.989361E18	2.451661E18	2.910936E18	3.348360E18	3.720932E18	3.998843E18	4.200471E18	4.398037E18	4.625928E18	4.872117E18	5.108971E18	5.296817E18	5.440532E18	5.539735E18	5.614803E18	5.675818E18	5.731556E18	5.781615E18	5.820137E18	5.852593E18	5.888538E18	5.904696E18	5.886897E18	5.662937E18	4.860103E18	3.289490E18	1.381332E18	3.953073E17	1.010845E17	2.559145E16
