324.98	0.1610459
330.01	0.2352246
335	0.29411304
339.99	0.33649551
345.01	0.35057412
349.99	0.37326477
355	0.40134982
360.01	0.41642708
364.98	0.4270598
369.99	0.39672364
374.99	0.37624085
380.02	0.33477569
385.01	0.30445107
390	0.28000681
394.99	0.24482618
400	0.23052878
404.98	0.21952083
409.99	0.22197486
415	0.24401842
420	0.2816175
425	0.34270599
430	0.4020955
434.99	0.42870068
440.01	0.42227612
444.99	0.37892377
450.01	0.31913535
454.98	0.26726028
459.99	0.22508251
464.99	0.1946234
469.99	0.17280653
475.02	0.15402632
480	0.13513862
484.99	0.11782235
490	0.09992679
495.01	0.08318195
500.02	0.06779573
505.02	0.05367771
510.01	0.04093626
515	0.03005446
519.99	0.02118901
525	0.01417183
530.01	0.00911417
534.98	0.00583892
539.98	0.00361314
545.01	0.00224241
