330	0.26743338
340	0.35260671
350	0.37855556
360	0.42673482
370	0.4360425
380	0.41988086
390	0.47583956
400	0.47511104
410	0.51197211
420	0.51658295
430	0.53229864
440	0.53790019
450	0.54247787
460	0.54154309
470	0.56020692
480	0.55430893
490	0.56298094
500	0.56620902
510	0.5768499
520	0.55400729
530	0.55561805
540	0.55008997
550	0.53850659
560	0.53042851
570	0.52210746
580	0.51195197
590	0.51105318
600	0.49178661
610	0.48238212
620	0.47648647
630	0.46460225
640	0.4583549
650	0.44465722
660	0.43925592
670	0.42710884
680	0.42481104
690	0.41571534
700	0.4178115
710	0.41232917
720	0.41674003
730	0.40654336
740	0.40075125
750	0.39921102
760	0.38286009
770	0.35019649
780	0.24603549
790	0.09123148
800	0.01999327
810	0.00419796
820	0.00150753
830	0.00066344
840	0.00107369
850	0.00159792
