# MgF2 (Magnesium Fluoride) optical constants
# Source: Rodriguez-de Marcos et al. from refractiveindex.info
# Wavelength range: 30-2000 nm (converted from micrometers)
# Format: wavelength(nm)  n  k
#
# wl(nm)	n	k
69.5	1.367051	0.680494
69.8	1.366656	0.673261
70.2	1.365613	0.671523
70.5	1.366384	0.672269
70.8	1.368730	0.672676
71.1	1.371698	0.672939
71.4	1.374723	0.673201
71.7	1.376843	0.673776
72.0	1.380593	0.681587
72.3	1.390648	0.691890
72.7	1.404711	0.693496
73.0	1.417600	0.689920
73.3	1.428864	0.686483
73.6	1.439793	0.682902
73.9	1.450948	0.678979
74.3	1.462661	0.674005
74.6	1.474084	0.665948
74.9	1.483691	0.655694
75.2	1.491426	0.645833
75.6	1.497995	0.636216
75.9	1.503640	0.626804
76.2	1.508482	0.617591
76.6	1.512582	0.608593
76.9	1.515960	0.599843
77.3	1.518591	0.591411
77.6	1.520463	0.583570
77.9	1.521958	0.577077
78.3	1.523838	0.571832
78.6	1.526195	0.566353
79.0	1.528649	0.560782
79.3	1.531088	0.555171
79.7	1.533458	0.549546
80.0	1.535733	0.543925
80.4	1.537895	0.538318
80.7	1.539937	0.532735
81.1	1.541852	0.527179
81.4	1.543639	0.521653
81.8	1.545303	0.516154
82.1	1.546854	0.510664
82.5	1.548272	0.505085
82.9	1.549378	0.499208
83.2	1.549932	0.493281
83.6	1.550008	0.487919
84.0	1.550052	0.483356
84.3	1.550201	0.478763
84.7	1.550279	0.474220
85.1	1.550241	0.469755
85.4	1.550070	0.465379
85.8	1.549761	0.461091
86.2	1.549318	0.456861
86.6	1.548716	0.452539
87.0	1.547536	0.447532
87.3	1.545100	0.442340
87.7	1.541323	0.438345
88.1	1.536346	0.435819
88.5	1.530100	0.436086
88.9	1.526843	0.446266
89.3	1.533004	0.459205
89.7	1.542282	0.453815
90.1	1.544354	0.442449
90.4	1.539810	0.437260
90.8	1.537663	0.446421
91.2	1.542344	0.452922
91.6	1.550929	0.455904
92.0	1.561941	0.453592
92.5	1.570120	0.439965
92.9	1.572935	0.427591
93.3	1.572951	0.415678
93.7	1.569040	0.401269
94.1	1.560470	0.390121
94.5	1.548921	0.383402
94.9	1.536161	0.382669
95.3	1.527699	0.392156
95.7	1.524122	0.395446
96.2	1.520482	0.395566
96.6	1.516092	0.394990
97.0	1.509704	0.390313
97.4	1.493412	0.377165
97.9	1.468672	0.384131
98.3	1.451511	0.411995
98.7	1.443294	0.430270
99.2	1.430197	0.438304
99.6	1.410291	0.461196
100.0	1.394670	0.504175
100.5	1.394182	0.561164
100.9	1.406965	0.608032
101.4	1.426614	0.653320
101.8	1.450337	0.693004
102.2	1.478988	0.740010
102.7	1.518661	0.791328
103.1	1.569325	0.838845
103.6	1.637783	0.898753
104.1	1.741224	0.958900
104.5	1.880297	0.972986
105.0	2.014147	0.887666
105.4	2.097264	0.750410
105.9	2.121767	0.616078
106.4	2.111039	0.530400
106.8	2.101072	0.492356
107.3	2.106338	0.459934
107.8	2.123857	0.423267
108.2	2.142700	0.358978
108.7	2.141217	0.267565
109.2	2.106695	0.178498
109.7	2.052598	0.131735
110.2	2.006438	0.124047
110.6	1.974922	0.116392
111.1	1.950236	0.108771
111.6	1.929626	0.101183
112.1	1.911703	0.093629
112.6	1.895621	0.086107
113.1	1.880776	0.078618
113.6	1.866709	0.071337
114.1	1.853466	0.064950
114.6	1.841058	0.058591
115.1	1.829123	0.052260
115.6	1.817382	0.045956
116.1	1.805479	0.039680
116.6	1.792667	0.033503
117.1	1.780255	0.031640
117.6	1.769535	0.029786
118.2	1.759754	0.027940
118.7	1.750613	0.026102
119.2	1.741882	0.024272
119.7	1.733613	0.022941
120.2	1.725884	0.021625
120.8	1.718549	0.020315
121.3	1.711487	0.019010
121.8	1.704700	0.017978
122.4	1.698347	0.017231
122.9	1.692497	0.016486
123.4	1.687244	0.015745
124.0	1.682190	0.013826
124.5	1.676660	0.011427
125.1	1.670330	0.009037
125.6	1.663965	0.008738
126.2	1.658303	0.008544
126.7	1.653062	0.008351
127.3	1.648120	0.008158
127.8	1.643419	0.007966
128.4	1.638921	0.007775
129.0	1.634597	0.007585
129.5	1.630418	0.007396
130.1	1.626390	0.007279
130.7	1.622525	0.007171
131.2	1.618808	0.007064
