#Comments Cs2AgBiBr6 thin films of 100 nm at room temperature		
"#Reference H. J. Jöbsis, V. M. Caselli, S. H. C. Askes, E. C. Garnett, T. J. Savenije, F. T. Rabouw, E. M. Hutter. Recombination and localization: Unfolding the pathways behind conductivity losses in Cs2AgBiBr6 thin films. Appl. Phys. Lett. 119, 131908 (2021) (Numerical data kindly provided by Huygen Jöbsis)"		
#https://refractiveindex.info/?shelf=other&book=Cs2AgBiBr6&page=Jobsis		
#wl (nm)	#n	#k
692.000000	2.041507	0.003407
694.000000	2.040621	0.003373
696.000000	2.039748	0.003339
698.000000	2.038888	0.003307
700.000000	2.038039	0.003275
702.000000	2.037203	0.003243
704.000000	2.036378	0.003212
706.000000	2.035564	0.003182
708.000000	2.034761	0.003152
710.000000	2.033968	0.003123
712.000000	2.033185	0.003095
714.000000	2.032413	0.003066
716.000000	2.031650	0.003039
718.000000	2.030897	0.003012
720.000000	2.030153	0.002985
722.000000	2.029418	0.002959
724.000000	2.028692	0.002933
726.000000	2.027975	0.002908
728.000000	2.027267	0.002883
730.000000	2.026567	0.002859
732.000000	2.025875	0.002834
734.000000	2.025192	0.002811
736.000000	2.024516	0.002788
738.000000	2.023848	0.002765
740.000000	2.023188	0.002742
742.000000	2.022536	0.002720
744.000000	2.021891	0.002698
746.000000	2.021253	0.002677
748.000000	2.020622	0.002656
750.000000	2.019999	0.002635
752.000000	2.019382	0.002615
754.000000	2.018772	0.002595
756.000000	2.018169	0.002575
758.000000	2.017572	0.002555
760.000000	2.016982	0.002536
762.000000	2.016398	0.002517
764.000000	2.015820	0.002499
766.000000	2.015249	0.002480
768.000000	2.014683	0.002462
770.000000	2.014124	0.002444
772.000000	2.013571	0.002427
774.000000	2.013023	0.002410
776.000000	2.012481	0.002393
778.000000	2.011944	0.002376
780.000000	2.011413	0.002359
782.000000	2.010888	0.002343
784.000000	2.010367	0.002327
786.000000	2.009852	0.002311
788.000000	2.009343	0.002295
790.000000	2.008838	0.002280
792.000000	2.008338	0.002265
794.000000	2.007844	0.002250
796.000000	2.007354	0.002235
798.000000	2.006869	0.002220
800.000000	2.006389	0.002206
802.000000	2.005913	0.002192
804.000000	2.005442	0.002178
806.000000	2.004976	0.002164
808.000000	2.004514	0.002150
810.000000	2.004057	0.002136
812.000000	2.003603	0.002123
814.000000	2.003155	0.002110
816.000000	2.002710	0.002097
818.000000	2.002270	0.002084
820.000000	2.001833	0.002072
822.000000	2.001401	0.002059
824.000000	2.000973	0.002047
826.000000	2.000549	0.002034
828.000000	2.000129	0.002022
830.000000	1.999712	0.002011
832.000000	1.999299	0.001999
834.000000	1.998891	0.001987
836.000000	1.998485	0.001976
838.000000	1.998084	0.001964
840.000000	1.997686	0.001953
842.000000	1.997291	0.001942
844.000000	1.996901	0.001931
846.000000	1.996513	0.001920
848.000000	1.996129	0.001910
850.000000	1.995749	0.001899
852.000000	1.995371	0.001889
854.000000	1.994998	0.001878
856.000000	1.994627	0.001868
858.000000	1.994259	0.001858
860.000000	1.993895	0.001848
862.000000	1.993534	0.001838
864.000000	1.993176	0.001828
866.000000	1.992821	0.001819
868.000000	1.992469	0.001809
870.000000	1.992120	0.001800
872.000000	1.991774	0.001791
874.000000	1.991431	0.001781
876.000000	1.991091	0.001772
878.000000	1.990754	0.001763
880.000000	1.990419	0.001754
882.000000	1.990087	0.001745
884.000000	1.989758	0.001737
886.000000	1.989432	0.001728
888.000000	1.989108	0.001719
890.000000	1.988787	0.001711
892.000000	1.988469	0.001703
894.000000	1.988153	0.001694
896.000000	1.987840	0.001686
898.000000	1.987530	0.001678
900.000000	1.987221	0.001670
902.000000	1.986916	0.001662
904.000000	1.986612	0.001654
906.000000	1.986312	0.001646
908.000000	1.986013	0.001638
910.000000	1.985717	0.001631
912.000000	1.985423	0.001623
914.000000	1.985132	0.001616
916.000000	1.984843	0.001608
918.000000	1.984556	0.001601
920.000000	1.984272	0.001594
922.000000	1.983989	0.001586
924.000000	1.983709	0.001579
926.000000	1.983431	0.001572
928.000000	1.983155	0.001565
930.000000	1.982881	0.001558
932.000000	1.982609	0.001551
934.000000	1.982340	0.001544
936.000000	1.982072	0.001538
938.000000	1.981807	0.001531
940.000000	1.981543	0.001524
942.000000	1.981282	0.001518
944.000000	1.981022	0.001511
946.000000	1.980764	0.001505
948.000000	1.980509	0.001498
950.000000	1.980255	0.001492
952.000000	1.980003	0.001486
954.000000	1.979753	0.001480
956.000000	1.979505	0.001473
958.000000	1.979258	0.001467
960.000000	1.979014	0.001461
962.000000	1.978771	0.001455
964.000000	1.978530	0.001449
966.000000	1.978291	0.001443
968.000000	1.978053	0.001437
970.000000	1.977817	0.001432
972.000000	1.977583	0.001426
974.000000	1.977351	0.001420
976.000000	1.977120	0.001415
978.000000	1.976891	0.001409
980.000000	1.976663	0.001403
982.000000	1.976437	0.001398
984.000000	1.976213	0.001392
986.000000	1.975991	0.001387
988.000000	1.975769	0.001382
990.000000	1.975550	0.001376
992.000000	1.975332	0.001371
994.000000	1.975115	0.001366
996.000000	1.974900	0.001361
998.000000	1.974687	0.001355
1000.000000	1.974475	0.001350
1002.000000	1.974264	0.001345
1004.000000	1.974055	0.001340
1006.000000	1.973848	0.001335
1008.000000	1.973641	0.001330
1010.000000	1.973436	0.001325
1012.000000	1.973233	0.001320
1014.000000	1.973031	0.001316
1016.000000	1.972830	0.001311
1018.000000	1.972631	0.001306
1020.000000	1.972433	0.001301
1022.000000	1.972236	0.001297
1024.000000	1.972041	0.001292
1026.000000	1.971847	0.001287
1028.000000	1.971654	0.001283
1030.000000	1.971463	0.001278
1032.000000	1.971273	0.001274
1034.000000	1.971084	0.001269
1036.000000	1.970896	0.001265
1038.000000	1.970710	0.001260
1040.000000	1.970525	0.001256
1042.000000	1.970341	0.001252
1044.000000	1.970158	0.001247
1046.000000	1.969976	0.001243
1048.000000	1.969796	0.001239
1050.000000	1.969617	0.001235
1052.000000	1.969439	0.001230
1054.000000	1.969262	0.001226
1056.000000	1.969086	0.001222
1058.000000	1.968911	0.001218
1060.000000	1.968738	0.001214
1062.000000	1.968565	0.001210
1064.000000	1.968394	0.001206
1066.000000	1.968224	0.001202
1068.000000	1.968055	0.001198
1070.000000	1.967887	0.001194
1072.000000	1.967720	0.001190
1074.000000	1.967554	0.001186
1076.000000	1.967389	0.001182
1078.000000	1.967225	0.001179
1080.000000	1.967062	0.001175
1082.000000	1.966900	0.001171
1084.000000	1.966739	0.001167
1086.000000	1.966580	0.001164
1088.000000	1.966421	0.001160
1090.000000	1.966263	0.001156
1092.000000	1.966106	0.001153
1094.000000	1.965950	0.001149
1096.000000	1.965795	0.001145
1098.000000	1.965641	0.001142
1100.000000	1.965488	0.001138
1102.000000	1.965336	0.001135
1104.000000	1.965185	0.001131
1106.000000	1.965034	0.001128
1108.000000	1.964885	0.001124
1110.000000	1.964737	0.001121
1112.000000	1.964589	0.001118
1114.000000	1.964442	0.001114
1116.000000	1.964297	0.001111
1118.000000	1.964152	0.001107
1120.000000	1.964008	0.001104
1122.000000	1.963864	0.001101
1124.000000	1.963722	0.001098
1126.000000	1.963580	0.001094
1128.000000	1.963440	0.001091
1130.000000	1.963300	0.001088
1132.000000	1.963161	0.001085
1134.000000	1.963023	0.001082
1136.000000	1.962885	0.001078
1138.000000	1.962749	0.001075
1140.000000	1.962613	0.001072
1142.000000	1.962478	0.001069
1144.000000	1.962344	0.001066
1146.000000	1.962210	0.001063
1148.000000	1.962078	0.001060
1150.000000	1.961946	0.001057
1152.000000	1.961815	0.001054
1154.000000	1.961684	0.001051
1156.000000	1.961555	0.001048
1158.000000	1.961426	0.001045
1160.000000	1.961298	0.001042
1162.000000	1.961170	0.001039
1164.000000	1.961044	0.001036
1166.000000	1.960918	0.001033
1168.000000	1.960793	0.001031
1170.000000	1.960668	0.001028
1172.000000	1.960544	0.001025
1174.000000	1.960421	0.001022
1176.000000	1.960299	0.001019
1178.000000	1.960177	0.001017
1180.000000	1.960056	0.001014
1182.000000	1.959935	0.001011
1184.000000	1.959816	0.001008
1186.000000	1.959697	0.001006
1188.000000	1.959578	0.001003
1190.000000	1.959460	0.001000
1192.000000	1.959343	0.000998
1194.000000	1.959227	0.000995
1196.000000	1.959111	0.000992
1198.000000	1.958996	0.000990
1200.000000	1.958881	0.000987
1202.000000	1.958768	0.000985
1204.000000	1.958654	0.000982
1206.000000	1.958542	0.000979
1208.000000	1.958430	0.000977
1210.000000	1.958318	0.000974
1212.000000	1.958207	0.000972
1214.000000	1.958097	0.000969
1216.000000	1.957987	0.000967
1218.000000	1.957878	0.000964
1220.000000	1.957770	0.000962
1222.000000	1.957662	0.000960
1224.000000	1.957555	0.000957
1226.000000	1.957448	0.000955
1228.000000	1.957342	0.000952
1230.000000	1.957236	0.000950
1232.000000	1.957131	0.000948
1234.000000	1.957027	0.000945
1236.000000	1.956923	0.000943
1238.000000	1.956820	0.000940
1240.000000	1.956717	0.000938
1242.000000	1.956614	0.000936
1244.000000	1.956513	0.000934
1246.000000	1.956411	0.000931
1248.000000	1.956311	0.000929
1250.000000	1.956211	0.000927
1252.000000	1.956111	0.000924
1254.000000	1.956012	0.000922
1256.000000	1.955913	0.000920
1258.000000	1.955815	0.000918
1260.000000	1.955718	0.000916
1262.000000	1.955621	0.000913
1264.000000	1.955524	0.000911
1266.000000	1.955428	0.000909
1268.000000	1.955332	0.000907
1270.000000	1.955237	0.000905
1272.000000	1.955142	0.000903
1274.000000	1.955048	0.000900
1276.000000	1.954955	0.000898
1278.000000	1.954862	0.000896
1280.000000	1.954769	0.000894
1282.000000	1.954677	0.000892
1284.000000	1.954585	0.000890
1286.000000	1.954494	0.000888
1288.000000	1.954403	0.000886
1290.000000	1.954312	0.000884
1292.000000	1.954222	0.000882
1294.000000	1.954133	0.000880
1296.000000	1.954044	0.000878
1298.000000	1.953955	0.000876
1300.000000	1.953867	0.000874
1302.000000	1.953780	0.000872
1304.000000	1.953692	0.000870
1306.000000	1.953605	0.000868
1308.000000	1.953519	0.000866
1310.000000	1.953433	0.000864
1312.000000	1.953348	0.000862
1314.000000	1.953262	0.000860
1316.000000	1.953178	0.000858
1318.000000	1.953093	0.000856
1320.000000	1.953009	0.000854
1322.000000	1.952926	0.000852
1324.000000	1.952843	0.000851
1326.000000	1.952760	0.000849
1328.000000	1.952678	0.000847
1330.000000	1.952596	0.000845
1332.000000	1.952515	0.000843
1334.000000	1.952434	0.000841
1336.000000	1.952353	0.000839
